Date/Time,Temperature,Promotion,Customers,Drinks Sold
Mon 17/6/24 10:00-11:00,33,0,639,834
Tue 18/6/24 11:00-12:00,20,1,174,234
Wed 19/6/24 12:00-13:00,24,0,754,862
Thu 20/6/24 13:00-14:00,-2,0,617,543
Fri 21/6/24 14:00-15:00,9,0,214,210
Sat 22/6/24 15:00-16:00,23,1,526,625
Sun 23/6/24 16:00-17:00,32,0,847,982
Mon 24/6/24 17:00-18:00,-2,1,709,687
Tue 25/6/24 10:00-11:00,11,1,638,669
Wed 26/6/24 11:00-12:00,-4,1,412,405
Thu 27/6/24 12:00-13:00,24,1,701,831
Fri 28/6/24 13:00-14:00,23,0,875,1010
Sat 29/6/24 14:00-15:00,14,0,289,292
Sun 30/6/24 15:00-16:00,23,1,119,225
Mon 1/7/24 16:00-17:00,25,1,760,967
Tue 2/7/24 17:00-18:00,3,0,691,688
Wed 3/7/24 10:00-11:00,3,1,684,707
Thu 4/7/24 11:00-12:00,18,1,425,517
Fri 5/7/24 12:00-13:00,30,0,664,786
Sat 6/7/24 13:00-14:00,-2,1,489,476
