Date/Time,Temperature,Promotion,Customers,Drinks Sold
Sun 07/7/24 16:00-17:00,19,0,126,174
Mon 08/7/24 10:00-11:00,12,0,223,250
Tue 09/7/24 11:00-12:00,30,1,186,354
Wed 10/7/24 12:00-13:00,24,0,195,271
Thu 11/7/24 13:00-14:00,28,1,238,396
Fri 12/7/24 14:00-15:00,31,1,250,414
Sat 13/7/24 15:00-16:00,33,1,310,485
Sun 14/7/24 16:00-17:00,27,0,260,412
Mon 15/7/24 10:00-11:00,22,0,170,265
Tue 16/7/24 11:00-12:00,25,0,190,300
Wed 17/7/24 12:00-13:00,23,1,205,349
Thu 18/7/24 13:00-14:00,29,1,237,378
Fri 19/7/24 14:00-15:00,32,0,154,205
Sat 20/7/24 15:00-16:00,34,0,187,289
Sun 21/7/24 16:00-17:00,28,1,280,455
Mon 22/7/24 10:00-11:00,23,1,165,313
Tue 23/7/24 11:00-12:00,27,1,195,315
Wed 24/7/24 12:00-13:00,26,1,175,285
Thu 25/7/24 13:00-14:00,30,0,235,370
Fri 26/7/24 14:00-15:00,31,1,255,415
