Date/Time,Temperature,Promotion,Customers,Drinks Sold
Sun 07/7/24 16:00-17:00,29,1,290,450
Mon 08/7/24 10:00-11:00,21,0,160,250
Tue 09/7/24 11:00-12:00,26,1,200,320
Wed 10/7/24 12:00-13:00,24,0,180,285
Thu 11/7/24 13:00-14:00,28,1,225,360
Fri 12/7/24 14:00-15:00,31,0,250,400
Sat 13/7/24 15:00-16:00,33,1,310,490
Sun 14/7/24 16:00-17:00,27,0,260,430
Mon 15/7/24 10:00-11:00,22,1,170,265
Tue 16/7/24 11:00-12:00,25,0,190,300
Wed 17/7/24 12:00-13:00,23,1,205,335
Thu 18/7/24 13:00-14:00,29,0,220,350
Fri 19/7/24 14:00-15:00,32,1,275,445
Sat 20/7/24 15:00-16:00,34,0,295,480
Sun 21/7/24 16:00-17:00,28,1,280,455
Mon 22/7/24 10:00-11:00,23,0,165,255
Tue 23/7/24 11:00-12:00,27,1,195,315
Wed 24/7/24 12:00-13:00,26,0,175,285
Thu 25/7/24 13:00-14:00,30,1,235,370
Fri 26/7/24 14:00-15:00,31,1,255,415
